title,successful_bid,initial_bid,num_bids,time,date,url
Ｂ．Ｌ．Ｔ． ２０１９年５月号 （東京ニュース通信社）付録ポスター クリアファイル付き 山下美月 梅澤美波 久保史緒里 乃木坂46,560,560,1,23:45,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/h1168454709
乃木坂46久保史緒里37th シングル「歩道橋」生写真4種4枚コンプ／同梱歓迎,780,780,1,23:39,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/w1170076439
/25【久保史緒里】始球式カード BBM 2024 fusion 金紙ホロPP版 乃木坂46 ceremonial first pitch 東北楽天ゴールデンイーグルス,20000,1000,10,22:46,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/e1169852593
AA852 山下美月×久保史緒里（乃木坂46）◆切り抜き 2ページ 切抜き,260,50,10,21:35,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/1169969621
BBM 2024 Fusion 久保史緒里　First Pitch 始球式カード,430,400,4,21:19,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/u1162512719
BBM2024 FUSION　300枚シリアル 始球式カード　久保史緒里(東北楽天/乃木坂46) 即決,2000,2000,1,21:03,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/r1167925107
●リバー、流れないでよ　映画チラシ　藤谷理子/永野宗典/鳥越裕貴/早織/久保史緒里/本上まなみ　2023年6月　邦画　フライヤー,95,95,1,20:57,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/g1160115961
【同梱可】中古品 アイドル 乃木坂46 筒井あやめ 久保史緒里 他 生写真 セミのみ 90枚 Happy New Year!2023 等 グッ,1815,500,14,20:57,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/g1169813242
【同梱可】中古品 アイドル 乃木坂46 久保史緒里 筒井あやめ 他 生写真 60枚 齋藤飛鳥卒業コンサート 等 グッズセッ,979,500,5,20:23,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/u1169818393
【同梱可】中古品 アイドル 乃木坂46 梅澤美波 久保史緒里 他 生写真 60枚 Monopoly 等 グッズセット,979,500,6,20:22,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/n1169793440
即決★格安出品★乃木坂46 クリアファイル　遠藤さくら　賀喜遥香　齋藤飛鳥　久保史緒里　梅澤美波★,10,10,1,19:56,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/s1168057778
乃木坂46ー久保史緒里コンサートライト,1100,1000,2,19:49,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/x1169506275
久保史緒里 青春文化祭 堕落リスナーパーカー ブラック Mサイズ,8880,8880,1,19:31,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/c1169775087
EX大衆 イーエックス大衆 2025年1・2月号 付録有 応募券無 乃木坂46 筒井あやめ 金川紗耶 弓木奈於 久保史緒里 AKB48 村山彩希,300,300,1,14:33,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/o1169662726
乃木坂46 WebShop限定 個別生写真 5枚セット コンプ 成人式 久保史緒里,700,700,1,04:25,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/q1145464573
●希少初版本♪●乃木坂46 久保史緒里 1st写真集 交差点,730,100,28,23:56,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/q1169118415
300枚限定 2024 BBM fusion 久保史緒里　始球式パラレルカード 59/300 乃木坂46 東北楽天ゴールデンイーグルス,1799,1000,4,23:35,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/v1169079075
2024 BBM FUSION 始球式 久保史緒里 乃木坂46,310,300,2,23:14,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/k1169716358
久保史緒里 Monopoly 封入生写真 (検 乃木坂46 日向坂46 櫻坂46 I want tomorrow to come 卒業写真だけが知ってる 歩道橋 コンプ,100,100,1,23:12,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/t1136307000
チャンスは平等 久保史緒里 封入生写真 (検 乃木坂46 日向坂46 櫻坂46 I want tomorrow to come 卒業写真だけが知ってる 歩道橋 コンプ,200,200,1,23:04,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/e1162035005
乃木坂46 のぎBOX NOGI GAMING ROOM モバカ(クリアカード) 8枚 久保史緒里 井上和 冨里奈央 田村真佑 伊藤理々杏 矢久保美緒 弓木奈於,1401,500,13,22:45,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/k1169072137
久保史緒里　 乃木坂46　 生写真　5th birthday live 会場生写真 ヒキ,500,150,7,22:44,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/n1165478096
乃木坂46 真夏の全国ツアー衣装2 ランダム生写真　まとめ売り　久保史緒里　井上和　冨里奈央など　35枚セット,2601,1,33,22:34,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/r1169623406
久保史緒里　乃木坂46 [浴衣　2024] ランダム生写真　5種コンプ,1610,1,22,22:32,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/q1169580275
久保史緒里　乃木坂46／37thシングル『歩道橋』セブンネット特典生写真,120,100,4,22:17,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/w1169478436
q/ts　未使用品◆久保史緒里　クオカード　少年チャンピオン　抽プレ　当選品　乃木坂46,2600,2500,2,22:05,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/d1160464014
∩(=^ェ^=)∩ 久保史緒里 伊藤理々杏／乃木坂46 超特大ポスター ※アップトゥボーイ2020年10月号 特別付録 ☆1点限り☆送料180円☆,150,150,1,22:01,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/m476807878
久保史緒里 おいでシャンプー BIGアクリルスタンド 2-35,1301,1,6,21:50,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/p1169377610
乃木坂46　久保史緒里　12thBDライブ衣装　セミコンプ（2024.July）,290,200,5,21:24,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/1151950456
AA775 与田祐希×賀喜遥香×遠藤さくら×久保史緒里（乃木坂46）◆切り抜き 10ページ 切抜き,130,130,1,21:23,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/t1169427794
乃木坂46　久保史緒里　浴衣　2種セミコンプ（2024.July-Ⅱ）,160,100,5,21:19,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/c1158691042
乃木坂46 久保史緒里 公式生写真３種コンプ 2017.クリスマス衣装/匿名配送,130,10,7,21:04,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/m1169087289
乃木坂46 久保史緒里 1st写真集 交差点 ポストカード付き 初版,1000,1000,1,21:01,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/j1169071588
Blu-ray「乃木坂工事中 久保工事中 (アウターケース付き) 久保史緒里 乃木坂46 ブルーレイ」,2480,2180,4,20:58,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/r1168046036
[乃木坂46 OG グッズ②] 井上和 秋元真夏 久保史緒里 & 鈴木絢音 さん ポスター まとめ セット【5枚・B2サイズ他／ CD 写真集 購入特典】,510,46,7,20:56,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/t1169176126
乃木坂46 久保史緒里 ポストカード セブンネット限定 オンラインくじ シリアル使用済み,210,100,8,20:54,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/g1169650588
乃木坂46 生写真 350枚 まとめ売り(西野七瀬 生田絵梨花等卒メン含む)小川彩 菅原咲月 遠藤さくら 賀喜遥香 久保史緒里 等,4600,100,44,20:32,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/t1169539112
乃木坂46のオールナイトニッポン presents 久保史緒里の青春文化祭 in 横浜アリーナ ランダムアクリルキーホルダー(青春詰め合わせ),1300,1200,2,19:24,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/w1169801959
乃木坂46 クリアファイル(遠藤さくら・ 賀喜遥香、久保史緒里・山下美月・井上 和) 日経エンタテインメント! 2024年2月号特典 未開封,510,300,4,23:43,2025/01/18,https://page.auctions.yahoo.co.jp/jp/auction/g1168962086
久保 史緒里『おひとりさま天国』乃木坂46 生写真3枚コンプ,510,1,9,23:26,2025/01/18,https://page.auctions.yahoo.co.jp/jp/auction/u1169346584
久保史緒里 　始球式カード　/300 乃木坂46,1000,1000,1,23:03,2025/01/18,https://page.auctions.yahoo.co.jp/jp/auction/1169379201
