title,successful_bid,initial_bid,num_bids,time,date,url
乃木坂46　生写真　12周年記念　2shot　伊藤理々杏　岡本姫奈　12th Anniversary,20,20,1,22:23,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/e1169797537
乃木坂46 2018.June スペシャル衣装12 生写真 伊藤理々杏 チュウ,50,50,1,20:54,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/k1046428696
乃木坂46 2018.May スペシャル衣装10 生写真 伊藤理々杏 ヨリ,50,50,1,20:53,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/t572443076
乃木坂46 2018.March-Ⅴ スペシャル衣装8 生写真 伊藤理々杏 チュウ,50,50,1,20:52,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/e331354440
乃木坂46 2018.March-Ⅱ ドーム衣装4 生写真 伊藤理々杏 チュウ,50,50,1,20:52,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/357033175
乃木坂46 2018.January チェック 生写真 伊藤理々杏 チュウ,50,50,1,20:51,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/d336662121
乃木坂46 2017.July-Ⅲ 開襟シャツ 生写真 伊藤理々杏 チュウ,50,50,1,20:49,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/346302393
伊藤理々杏 シンクロニシティ ( 乃木坂46 生写真 コンプ,180,180,1,17:28,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/u1167034752
伊藤理々杏 チェック ( 乃木坂46 生写真 コンプ 2018.January,180,180,1,17:27,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/u1167031573
伊藤理々杏 スイス風 ( 乃木坂46 生写真 コンプ 2018.January-Ⅲ,180,180,1,17:27,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/e1167018622
伊藤理々杏 チャンスは平等 封入生写真 (検 乃木坂46 日向坂46 櫻坂46 I want tomorrow to come 卒業写真だけが知ってる 歩道橋 コンプ,200,200,1,23:08,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/m1165985548
伊藤理々杏 好きというのはロックだぜ 封入生写真(検 乃木坂 日向坂 櫻坂46 I want tomorrow to come 卒業写真だけが知ってる 歩道橋コンプ,200,200,1,23:08,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/h1150603351
伊藤理々杏 Monopoly 封入生写真 (検 乃木坂46 日向坂46 櫻坂46 I want tomorrow to come 卒業写真だけが知ってる 歩道橋 コンプ,200,200,1,23:06,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/e1150588516
伊藤理々杏 歩道橋 乃木坂46 コンプ 封入生写真 (検 日向坂 櫻坂46 I want tomorrow to come 卒業写真だけが知ってる シリアルナンバー,200,200,1,23:05,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/j1165671540
乃木坂46 のぎBOX NOGI GAMING ROOM モバカ(クリアカード) 8枚 久保史緒里 井上和 冨里奈央 田村真佑 伊藤理々杏 矢久保美緒 弓木奈於,1401,500,13,22:45,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/k1169072137
