title,successful_bid,initial_bid,num_bids,time,date,url
乃木坂46　冨里奈央　生写真　2022.Christmas　クリスマス　個別　5種コンプ,510,500,2,21:55,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/j1169937946
【同梱可】良品 アイドル 乃木坂46 冨里奈央 池田瑛紗 他 生写真 セミ含む 50枚 チートデイ 等 グッズセット,3520,500,12,20:43,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/b1169820758
乃木坂46　冨里奈央　スペシャル衣装35　コンプ,580,580,1,19:02,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/o1161420963
BRODY.ブロディ.2月号.中西アルノ.冨里奈央.北野瑠華.由良ゆら.尊みを感じて桜井.QUOカード.図書カードNEXT.払込取扱票.1枚.応募.出品個数8,50,50,1,23:52,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/l1169952762
WCCF1枚＋FOOTISTA▼乃木坂 冨里奈央,601,180,5,23:11,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/d1169907672
冨里奈央　乃木坂46 [浴衣　2024] ランダム生写真　5種コンプ,2202,1,24,23:03,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/1169567708
乃木坂46 のぎBOX NOGI GAMING ROOM モバカ(クリアカード) 8枚 久保史緒里 井上和 冨里奈央 田村真佑 伊藤理々杏 矢久保美緒 弓木奈於,1401,500,13,22:45,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/k1169072137
乃木坂46公式2023April2022紅白衣装特典【冨里奈央】 生写真乃木コレ3,50,1,4,22:43,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/c1155755724
乃木坂46 真夏の全国ツアー衣装2 ランダム生写真　まとめ売り　一ノ瀬美空　与田祐希　冨里奈央　林瑠奈　金川紗耶など　35枚セット,2501,1,22,22:40,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/n1169631806
乃木坂46 真夏の全国ツアー衣装2 ランダム生写真　まとめ売り　井上和　遠藤さくら　冨里奈央　中西アルノ　金川紗耶など　35枚セット,2600,1,20,22:35,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/r1169615987
乃木坂46 真夏の全国ツアー衣装2 ランダム生写真　まとめ売り　久保史緒里　井上和　冨里奈央など　35枚セット,2601,1,33,22:34,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/r1169623406
冨里奈央（乃木坂46）アップトゥボーイ 2023年5月号【セブンネット限定特典：ポストカード,565,100,9,22:29,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/l1169755967
週刊プレイボーイ2024no.50★特別付録DVD一ノ瀬瑠菜蓬莱舞北野瑠華冨里奈央羽柴なつみ安藤笑佐々木朗希はどこまで活躍できる？,340,340,1,22:25,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/f1162937726
乃木坂46 冨里奈央　雑誌切り抜き10ぺージ,110,110,1,21:57,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/h1163503151
乃木坂46　冨里奈央　チャンスは平等　セミコンプ,200,200,1,21:52,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/n1145437929
乃木坂46　冨里奈央　チートデイ　セミコンプ（2024）,200,200,1,21:43,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/r1164314676
乃木坂46　冨里奈央　真夏の全国ツアー2024衣装1　セミコンプ（2024.September）,360,200,3,21:22,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/p1169496774
乃木坂46　冨里奈央　スペシャル衣装41　セミコンプ（2024.June）,290,200,4,21:15,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/n1147980365
乃木坂46　冨里奈央　浴衣　2種セミコンプ（2024.July-Ⅱ）,100,100,1,21:09,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/q1158703905
乃木坂46 冨里奈央 Monopoly 生写真 ヒキ,90,10,3,20:08,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/p1169086775
乃木坂46 冨里奈央 Monopoly 生写真 チュウ,10,10,1,20:07,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/f1169090589
乃木坂46 冨里奈央 2024.January ルーズソックス 生写真 ヨリ,129,10,5,20:07,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/j1169092865
乃木坂46 冨里奈央 乃木コレ スペシャル衣装38 2023.August-Ⅴ 生写真 ヒキ バーコード有,10,10,1,20:05,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/l1169094616
