title,successful_bid,initial_bid,num_bids,time,date,url
吉田綾乃クリスティー 生写真 タータンチェック MA-1×スカート 6種 コンプ 乃木坂46 WebShop 限定 2024.February -Ⅱ 【硬質ケース発送】,400,400,1,22:52,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/l1133452426
乃木坂46　生写真　12周年記念　2shot　佐藤楓　吉田綾乃クリスティー　12th Anniversary,65,20,2,20:35,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/w1169799563
乃木坂46 12周年記念生写真 2shot ver./清宮レイ 吉田綾乃クリスティー,100,100,1,20:32,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/h1169108817
乃木坂46 12周年記念生写真 2shot ver./佐藤楓 吉田綾乃クリスティー,100,100,1,20:32,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/n1169087190
乃木坂46 吉田綾乃クリスティー 2024.January ルーズソックス 生写真 ヨリ,10,10,1,20:26,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/f1169090041
乃木坂46 吉田綾乃クリスティー 2023.December 真夏の全国ツアー2023 衣装2 生写真 チュウ,10,10,1,20:25,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/s1169098691
乃木坂46 吉田綾乃クリスティー 2023.December 真夏の全国ツアー2023 衣装2 生写真 ヨリ,10,10,1,20:24,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/k1169088508
乃木坂46 吉田綾乃クリスティー 乃木コレ スペシャル衣装38 2023.August-Ⅴ 生写真 ヨリ バーコード有,10,10,1,20:23,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/s1169099524
乃木坂46 吉田綾乃クリスティー 日常 生写真 チュウ【傷アリ】,1,1,1,20:23,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/u1169110970
乃木坂46 吉田綾乃クリスティー 2019.March-Ⅵ 生写真 ヒキ【難アリ】,1,1,1,20:22,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/e1169095658
乃木坂46 吉田綾乃クリスティー 2019.March-Ⅵ 生写真 ヨリ【傷アリ】,1,1,1,20:21,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/d1169100416
吉田綾乃クリスティー 切り抜き 56ページ＋ポストカード2枚 乃木坂46【即決】,80,80,1,21:59,2025/01/18,https://page.auctions.yahoo.co.jp/jp/auction/f1166821047
乃木坂46 生写真 バルーンスカート 岩本蓮加 金川紗耶 吉田綾乃クリスティー 2024 october,700,700,1,21:25,2025/01/18,https://page.auctions.yahoo.co.jp/jp/auction/d1166264973
乃木坂46 吉田綾乃クリスティー 生写真,10,10,1,19:53,2025/01/17,https://page.auctions.yahoo.co.jp/jp/auction/p1169362153
