title,successful_bid,initial_bid,num_bids,time,date,url
乃木坂46 生写真 チートデイ 30枚まとめ売り 川﨑桜 筒井あやめ 岩本蓮加 林瑠奈 中西アルノ などあり その他も多数あり,1301,1,36,21:52,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/e1169907135
乃木坂46 生写真 真夏の全国ツアー2024衣装2 30枚まとめ売り 川﨑桜 筒井あやめ 岩本蓮加 中西アルノ 柴田柚菜 などあり その他もあり,1700,1,15,21:18,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/u1169838881
乃木坂46 12周年記念　anniversary 生写真　3種コンプ　川﨑桜,500,500,1,01:39,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/d1128654089
WCCF1枚＋FOOTISTA▼乃木坂 川﨑桜,180,180,1,23:11,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/p1169903909
乃木坂46 川﨑桜 生写真 12枚セット セミコンプ,1500,1500,1,22:06,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/g1167833968
乃木坂46　川﨑桜　スペシャル衣装42　セミコンプ（2024.August）,590,200,13,21:44,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/h1159573870
乃木坂46　川﨑桜　12thBDライブ衣装　セミコンプ（2024.July）,310,200,4,21:23,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/t1151956004
アップトゥボーイ UTB 2025年2月号 付録有 応募はがき無 川﨑桜 乃木坂46 八木仁愛 ひまひま ちばひなの 福井梨莉華 北野瑠華,561,500,6,21:12,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/d1169659571
乃木坂46　川﨑桜　浴衣　2種セミコンプ（2024.July-Ⅱ）,150,100,4,21:08,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/c1158697611
乃木坂46　川﨑桜　チャンスは平等　セミコンプ,290,200,3,21:02,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/q1145446881
乃木坂46 川﨑桜 Monopoly 生写真 チュウ,10,10,2,19:45,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/l1169094903
乃木坂46 川﨑桜 5期生スペシャル 1 生写真 ヒキ,119,10,7,19:45,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/p1169084483
