title,successful_bid,initial_bid,num_bids,time,date,url
乃木坂46　弓木奈於　生写真　CHOOSE 5 PHOTOS！ ４期生ライブ2020　バーコード無し,30,30,1,21:27,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/g1169964282
ヤングマガジン ２０２５年6号 梅澤美波 弓木奈於　金川紗耶　小川彩　菅原咲月,610,100,23,21:01,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/j1169744187
【同梱可】中古品 アイドル 乃木坂46 弓木奈於 鈴木絢音 他 生写真 60枚 山下美月卒業コンサート 等 グッズセット,979,500,7,20:40,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/q1169803596
【同梱可】中古品 アイドル 乃木坂46 筒井あやめ 弓木奈於 他 生写真 60枚 Happy New Year!2023 等 グッズセット,979,500,6,20:26,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/x1169806013
【同梱可】中古品 アイドル 乃木坂46 弓木奈於 佐藤璃果 他 生写真 60枚 2022 December-3 等 グッズセット,693,500,3,20:19,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/1169795361
雑誌)B.L.T. 2021年8月号 日向坂46 富田x好花x美穂 弓木奈於 NGT本間日陽 篠崎こころ 宇咲 ババババンビ 26時 北野日奈子 他 送料込み,598,598,1,19:29,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/r1096475508
EX大衆 イーエックス大衆 2025年1・2月号 付録有 応募券無 乃木坂46 筒井あやめ 金川紗耶 弓木奈於 久保史緒里 AKB48 村山彩希,300,300,1,14:33,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/o1169662726
弓木奈於 アザーカットミニ写真集,4600,3000,10,11:48,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/k1169949276
●希少初版本♪●乃木坂46 弓木奈於 写真集 天使だったのか,810,100,13,23:42,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/u1169131593
1円～★ヤングマガジン No.6★乃木坂46 梅澤美波★弓木奈於★金川紗耶★小川彩★菅原咲月★パリピ孔明★アンダーニンジャ★税金で買った本,1110,1,27,23:25,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/s1169207944
WCCF1枚＋FOOTISTA▼乃木坂 弓木奈於,180,180,1,23:08,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/l1169906964
乃木坂46 NOGI GAMING ROOM モバカ 弓木奈於ノーマル,100,100,1,22:56,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/c1169087284
★弓木奈於　写真集　中古品,720,100,13,22:56,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/k1169522160
乃木坂46 のぎBOX NOGI GAMING ROOM モバカ(クリアカード) 8枚 久保史緒里 井上和 冨里奈央 田村真佑 伊藤理々杏 矢久保美緒 弓木奈於,1401,500,13,22:45,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/k1169072137
乃木坂46 弓木奈於1st写真集 『天使だったのか』　特別付録：メッセージ入りポストカード ランダム1枚封入（全6種）,2500,2273,1,22:41,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/m1147689215
弓木奈於(乃木坂46) 　アップトゥボーイ 2025年2月号【セブンネット限定特典：ポストカード,210,100,6,22:23,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/q1169556497
2411ND●BRODY ブロディ 2019.12●坂道研修生/遠藤光莉/大園玲/大沼晶保/黒見明香/弓木奈於/賀喜遥香/今泉佑唯/沢口愛華/高崎かなみ,660,600,1,20:10,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/w1161794863
弓木奈於 アザーカットミニ写真集 「天使だったのか」 抽プレ当選品　乃木坂46 ４期生　当選通知書・封筒付き　未読未使用品,3700,500,6,20:00,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/d1169828125
最新抽プレ★弓木奈於さん★Nao Yumiki★乃木坂46★週刊少年マガジン23号★クオカード★QUOカード,4600,3000,5,19:54,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/q1169098520
BOMB 弓木奈於 乃木坂46 白濱美兎 鈴木くるみ 福留光帆 佐藤綺星 八木仁愛 すみぽん ボム　志田こはく　柳美稀　田鍋梨々花　上坂樹里,470,460,2,18:01,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/p1162446220
