title,successful_bid,initial_bid,num_bids,time,date,url
両面クリアファイル　（a908-1)遠藤さくら掛橋沙耶香賀喜遥香金川紗耶柴田柚菜北川悠理清宮レイ田村真佑筒井あやめ早川聖来乃木坂46,1699,1499,1,23:32,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/o347931453
乃木坂46 生写真 真夏の全国ツアー2024衣装2 30枚まとめ売り 川﨑桜 筒井あやめ 岩本蓮加 中西アルノ 柴田柚菜 などあり その他もあり,1700,1,15,21:18,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/u1169838881
乃木坂46 柴田柚菜 2024 July-2 浴衣 生写真 コンプ N7913,150,150,1,22:59,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/c1164482667
柴田柚菜　乃木坂46 [浴衣　2024] ランダム生写真　5種コンプ,400,1,14,22:52,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/e1169581356
柴田柚菜　乃木坂46 [車道側] ランダム生写真　3種コンプ,200,1,8,22:39,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/1169565756
乃木坂46生写真 柴田柚菜 2023 August スペシャル衣装38,600,600,1,22:30,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/e1133402043
再値下げ乃木坂46公式2019July浴衣特典【柴田柚菜】 生写真 壁，座り有りフルコンプ,100,1,2,22:30,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/p1064143969
林瑠奈　柴田柚菜　黒見明香　図書カード　FLASH Platinum （クオカード、テレカではありません）　乃木坂46,1400,500,18,22:17,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/c1169069040
乃木坂46 柴田柚菜 生写真 真夏の全国ツアー2024衣装2 3枚コンプ (品物説明文を全てお読み下さい),150,150,1,21:47,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/c1169293417
乃木坂46　柴田柚菜　真夏の全国ツアー2024衣装1　セミコンプ（2024.September）,200,200,1,21:20,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/n1158988993
乃木坂46　柴田柚菜　生写真5枚　管理番号78,70,70,1,20:35,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/e1158682785
乃木坂46　柴田柚菜　会場限定ランダム生写真　2023 July-Ⅲ　リボンモチーフ　ヒキ,390,300,5,22:23,2025/01/18,https://page.auctions.yahoo.co.jp/jp/auction/m1169408645
乃木坂46　柴田柚菜　Webshop限定ランダム生写真　2023 May-Ⅴ　ダメージ　ヒキ,350,350,1,22:22,2025/01/18,https://page.auctions.yahoo.co.jp/jp/auction/t1169415316
乃木坂46　柴田柚菜　会場限定ランダム生写真　2023 February-Ⅲ　ワンカラーニット　ヒキ,300,300,1,22:21,2025/01/18,https://page.auctions.yahoo.co.jp/jp/auction/t1169417455
乃木坂46　柴田柚菜　Webshop限定ランダム生写真　2022 December-Ⅲ　ハーフジップ　ヒキ,300,300,1,22:18,2025/01/18,https://page.auctions.yahoo.co.jp/jp/auction/h1169395845
