title,successful_bid,initial_bid,num_bids,time,date,url
両面クリアファイル　（a908-1)遠藤さくら掛橋沙耶香賀喜遥香金川紗耶柴田柚菜北川悠理清宮レイ田村真佑筒井あやめ早川聖来乃木坂46,1699,1499,1,23:32,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/o347931453
乃木坂46　金川　紗耶　新旧切り抜き寄せ集め　４５P,299,299,1,23:07,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/o1160446436
乃木坂46生写真 金川紗耶 8th YEAR BIRTHDAY LIVE,200,200,1,22:47,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/v1169130442
金川紗耶　35th 制服　2024年　June 2 Ⅱ 3種コンプ　乃木坂46 生写真　（検） 歩道橋　卒業写真だけが知っている　櫻坂　振袖　ねこみみ,346,100,4,21:48,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/u1170042639
AA810 金川紗耶×早川聖来（乃木坂46）◆切り抜き 6ページ 切抜き,90,90,1,21:27,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/v1169207567
AA766 金川紗耶（乃木坂46）◆切り抜き 19ページ 切抜き,200,200,1,21:27,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/j1168689821
ヤングマガジン ２０２５年6号 梅澤美波 弓木奈於　金川紗耶　小川彩　菅原咲月,610,100,23,21:01,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/j1169744187
EX大衆 イーエックス大衆 2025年1・2月号 付録有 応募券無 乃木坂46 筒井あやめ 金川紗耶 弓木奈於 久保史緒里 AKB48 村山彩希,300,300,1,14:33,2025/01/20,https://page.auctions.yahoo.co.jp/jp/auction/o1169662726
1円～★ヤングマガジン No.6★乃木坂46 梅澤美波★弓木奈於★金川紗耶★小川彩★菅原咲月★パリピ孔明★アンダーニンジャ★税金で買った本,1110,1,27,23:25,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/s1169207944
乃木坂46 浴衣2022　生写真　3種コンプ　金川紗耶,300,300,1,22:48,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/d1169728539
乃木坂46 11周年Anniversary　生写真　3種コンプ　金川紗耶,300,300,1,22:48,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/m1169899202
乃木坂46 浴衣2021　生写真　3種コンプ　金川紗耶,300,300,1,22:48,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/1169703899
乃木坂46　金川紗耶　届かなくたって　生写真　コンプ,300,300,1,22:47,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/l1157192105
金川紗耶（乃木坂46）B.L.T.2025年1月号【セブンネット限定特典： ポストカード,430,100,14,22:35,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/b1169564037
乃木坂46　金川紗耶　スペシャル衣装42　セミコンプ（2024.August）,200,200,1,21:26,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/h1157526016
乃木坂46　生写真　CHOOSE 5 PHOTOS！ 寺田蘭世　阪口珠美　金川紗耶　28th UNDER LIVE アンダーライブ　バーコード無し,130,30,5,20:53,2025/01/19,https://page.auctions.yahoo.co.jp/jp/auction/b1169816401
